SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02200059,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/29/2022 08:35:44 AM,12/30/2022 07:48:53 AM,12/30/2022 07:48:53 AM,3435 W EVERGREEN AVE,,,,3435,W,EVERGREEN,AVE,false,false,,,23,26,,H019,2,14,1422,9,,8,5,12,1153046.07728017,1908696.810606176,41.905323001,-87.7132575,"(41.90532300094056, -87.7132575000019)"
SR22-02199648,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/29/2022 07:33:07 AM,12/29/2022 08:39:13 AM,12/29/2022 08:39:13 AM,4644 S LA CROSSE AVE,,,,4644,S,LA CROSSE,AVE,false,false,,,56,22,,D032,1,08,0814,1,,7,5,12,1144736.121245591,1873217.185907929,41.808123001,-87.7446765,"(41.80812300094017, -87.74467650000192)"
SR22-02199142,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/29/2022 12:31:08 AM,12/30/2022 10:54:54 AM,12/30/2022 10:54:54 AM,2943 W NELSON ST,,,,2943,W,NELSON,ST,false,false,,,21,35,,I015,1,14,1411,13,,0,5,12,1156087.22192634,1920260.566362217,41.936994001,-87.7017735,"(41.93699400094063, -87.70177350000192)"
SR22-02198500,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Mobile Device,12/28/2022 07:28:35 PM,12/30/2022 07:47:00 AM,12/30/2022 07:47:00 AM,7526 S CARPENTER ST,,,,7526,S,CARPENTER,ST,false,false,,,71,17,,N040,1,06,0612,22,,19,4,12,1170535.285175374,1854700.4438283,41.756787001,-87.6505905,"(41.756787000940015, -87.65059050000193)"
SR22-02198497,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/28/2022 07:27:44 PM,12/30/2022 07:45:01 AM,12/30/2022 07:45:01 AM,1321 S LAWNDALE AVE,,,,1321,S,LAWNDALE,AVE,false,false,,,29,24,,G025,1,10,1011,24,,19,4,12,1151993.385772258,1893556.423336541,41.863797001,-87.7175235,"(41.8637970009404, -87.71752350000192)"
SR22-02197640,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/28/2022 03:54:51 PM,01/03/2023 09:30:42 AM,01/03/2023 09:30:42 AM,6928 S OGLESBY AVE,,,,6928,S,OGLESBY,AVE,true,false,,SR22-02195743,43,5,,V038,3,03,0331,29,,15,4,12,1192773.096871924,1859351.255925562,41.769036001,-87.5689425,"(41.76903600094006, -87.5689425000019)"
SR22-02197460,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/28/2022 03:25:55 PM,12/29/2022 07:27:52 AM,12/29/2022 07:27:52 AM,1660 W OLIVE AVE,,,,1660,W,OLIVE,AVE,false,false,,,77,40,,L008,1,20,2012,22,,15,4,12,1163969.725469113,1937621.071139549,41.984469001,-87.672312,"(41.984469000940805, -87.67231200000191)"
SR22-02197205,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/28/2022 02:42:20 PM,12/29/2022 10:27:35 AM,12/29/2022 10:27:35 AM,3232 N NAGLE AVE,,,,3232,N,NAGLE,AVE,false,false,,,17,38,,Z114,3,16,1632,26,,14,4,12,1132736.85509695,1920933.289339504,41.939280001,-87.787575,"(41.93928000094065, -87.7875750000019)"
SR22-02197128,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/28/2022 02:30:36 PM,12/28/2022 03:00:51 PM,12/28/2022 02:55:55 PM,7305 S TROY ST,,,,7305,S,TROY,ST,false,false,,,66,18,,I039,3,08,0835,39,,14,4,12,1156710.004801861,1855946.030810583,41.760495001,-87.7012245,"(41.76049500094001, -87.70122450000191)"
SR22-02196014,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Mobile Device,12/28/2022 11:54:13 AM,01/01/2023 10:46:58 AM,01/01/2023 10:46:58 AM,6960 W IMLAY ST,,,,6960,W,IMLAY,ST,false,false,,,10,41,,Y106,1,16,1611,11,,11,4,12,1128776.772963693,1942315.389770944,41.998023001,-87.801642,"(41.99802300094083, -87.8016420000019)"
SR22-02195743,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/28/2022 11:17:54 AM,01/03/2023 09:30:42 AM,01/03/2023 09:30:42 AM,6928 S OGLESBY AVE,,,,6928,S,OGLESBY,AVE,false,false,,,43,5,,V038,3,03,0331,29,,11,4,12,1192773.096871924,1859351.255925562,41.769036001,-87.5689425,"(41.76903600094006, -87.5689425000019)"
SR22-02192964,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Mobile Device,12/27/2022 07:54:47 PM,12/28/2022 07:59:29 AM,12/28/2022 07:59:29 AM,530 W 18TH ST,,,,530,W,18TH,ST,false,false,,,31,25,,O026,3,12,1235,27,,19,3,12,1173090.365872508,1891562.444435707,41.857884001,-87.640137,"(41.85788400094038, -87.64013700000191)"
SR22-02192855,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/27/2022 07:29:51 PM,12/28/2022 10:53:14 AM,12/28/2022 10:53:14 AM,8549 S ST LAWRENCE AVE,,,,8549,S,ST LAWRENCE,AVE,false,false,,,44,6,,R042,3,06,0632,3,,19,3,12,1181824.832159909,1848249.649815293,41.738832001,-87.6094155,"(41.738832000939944, -87.60941550000192)"
SR22-02192833,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/27/2022 07:23:09 PM,12/28/2022 07:57:10 AM,12/28/2022 07:57:10 AM,1660 W OLIVE AVE,,,,1660,W,OLIVE,AVE,false,false,,,77,40,,L008,1,20,2012,22,,19,3,12,1163969.725469113,1937621.071139549,41.984469001,-87.672312,"(41.984469000940805, -87.67231200000191)"
SR22-02192105,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/27/2022 03:59:45 PM,12/28/2022 08:01:09 AM,12/28/2022 08:01:09 AM,6928 S OGLESBY AVE,,,,6928,S,OGLESBY,AVE,false,false,,,43,5,,V038,3,03,0331,29,,15,3,12,1192773.096871924,1859351.255925562,41.769036001,-87.5689425,"(41.76903600094006, -87.5689425000019)"
SR22-02191887,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/27/2022 03:12:21 PM,12/30/2022 07:41:25 AM,12/30/2022 07:41:25 AM,1426 E 72ND PL,,,,1426,E,72ND,PL,false,false,,,43,8,,T039,2,03,0324,2,,15,3,12,1187112.765814371,1857307.528663095,41.763564001,-87.589755,"(41.763564000940065, -87.5897550000019)"
SR22-02191529,Nuisance Animal Complaint,EAB,Alderman,Animal Care and Control,Canceled,Alderman's Office,12/27/2022 02:21:34 PM,12/28/2022 08:02:51 AM,12/28/2022 08:02:51 AM,10222 S RHODES AVE,,,,10222,S,RHODES,AVE,false,false,,,49,9,,R046,1,05,0511,14,,14,3,12,1181647.560249606,1837182.325995219,41.708466001,-87.6104055,"(41.70846600093987, -87.6104055000019)"
SR22-02190097,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/27/2022 11:14:10 AM,12/27/2022 02:52:13 PM,12/27/2022 02:52:13 PM,1500 W 115TH ST,,,,1500,W,115TH,ST,false,false,,,75,21,,M049,3,22,2234,29,,11,3,12,1168114.661570968,1828532.302563999,41.685030001,-87.6602115,"(41.68503000093974, -87.66021150000192)"
SR22-02188375,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/27/2022 12:38:54 AM,12/27/2022 10:24:33 AM,12/27/2022 10:24:33 AM,3548 N WOLCOTT AVE,,,,3548,N,WOLCOTT,AVE,false,false,,,5,47,,L014,2,19,1922,47,,0,3,12,1162983.869370918,1923857.875104161,41.946723001,-87.676326,"(41.946723000940665, -87.67632600000191)"
SR22-02188331,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/26/2022 11:50:25 PM,12/27/2022 01:37:22 PM,12/27/2022 01:37:22 PM,8934 S NORMAL AVE,,,,8934,S,NORMAL,AVE,false,false,,,71,21,,O043,2,22,2223,40,,23,2,12,1174458.977127216,1845532.267044362,41.731542001,-87.636483,"(41.73154200093992, -87.63648300000192)"
SR22-02187819,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/26/2022 08:01:07 PM,12/29/2022 07:28:40 AM,12/29/2022 07:28:40 AM,4838 W DRUMMOND PL,,,,4838,W,DRUMMOND,PL,false,false,,,19,31,,D016,2,25,2521,37,,20,2,12,1143499.735394594,1917262.078179087,41.929011001,-87.74811,"(41.929011000940605, -87.7481100000019)"
SR22-02187817,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/26/2022 08:00:40 PM,12/27/2022 09:16:40 AM,12/27/2022 09:16:40 AM,5245 S WHIPPLE ST,,,,5245,S,WHIPPLE,ST,false,false,,,63,14,,I034,2,09,0923,30,,20,2,12,1157009.035460649,1869519.661925852,41.797737001,-87.699762,"(41.797737000940145, -87.69976200000191)"
SR22-02187668,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Mobile Device,12/26/2022 07:21:50 PM,12/27/2022 01:34:59 PM,12/27/2022 01:35:00 PM,500 W 18TH ST,,,,500,W,18TH,ST,false,false,,,31,25,,O026,3,12,1235,27,,19,2,12,1173245.735267807,1891603.056858537,41.857992001,-87.6395655,"(41.85799200094038, -87.63956550000192)"
SR22-02187449,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/26/2022 06:01:36 PM,12/27/2022 10:59:29 AM,12/27/2022 10:59:29 AM,2621 W LELAND AVE,,,,2621,W,LELAND,AVE,false,false,,,4,47,,J011,1,19,1911,42,,18,2,12,1157939.14218364,1931028.780720707,41.966505001,-87.6946725,"(41.966505000940735, -87.6946725000019)"
SR22-02187074,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Internet,12/26/2022 04:08:38 PM,12/27/2022 09:06:03 AM,12/27/2022 09:06:03 AM,1660 W OLIVE AVE,,,,1660,W,OLIVE,AVE,false,false,,,77,40,,L008,1,20,2012,22,,16,2,12,1163969.725469113,1937621.071139549,41.984469001,-87.672312,"(41.984469000940805, -87.67231200000191)"
SR22-02183118,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/24/2022 09:32:44 PM,12/25/2022 05:42:24 PM,12/25/2022 05:42:24 PM,3804 W 63RD ST,,,,3804,W,63RD,ST,false,false,,,65,23,,G036,2,08,0823,32,,21,7,12,1152043.959980137,1862694.609872013,41.779107001,-87.718149,"(41.779107000940066, -87.71814900000192)"
SR22-02181822,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/24/2022 01:29:13 PM,12/25/2022 10:12:40 AM,12/25/2022 10:12:40 AM,1660 W OLIVE AVE,,,,1660,W,OLIVE,AVE,true,false,,SR22-02180624,77,40,,L008,1,20,2012,22,,13,7,12,1163969.725469113,1937621.071139549,41.984469001,-87.672312,"(41.984469000940805, -87.67231200000191)"
SR22-02181293,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/24/2022 08:12:35 AM,12/28/2022 08:04:57 AM,12/28/2022 08:04:57 AM,5625 S ABERDEEN ST,,,,5625,S,ABERDEEN,ST,false,false,,,68,16,,N035,1,07,0712,15,,8,7,12,1170019.646579827,1867402.05689616,41.791653001,-87.6521115,"(41.79165300094014, -87.65211150000192)"
SR22-02180938,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/24/2022 01:17:33 AM,12/27/2022 10:08:12 AM,12/27/2022 10:08:12 AM,2741 S KOMENSKY AVE,,,,2741,S,KOMENSKY,AVE,false,false,,,30,22,,F028,3,10,1031,24,,1,7,12,1149896.826913019,1885299.506335832,41.841180001,-87.7254345,"(41.84118000094029, -87.72543450000191)"
SR22-02180624,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/23/2022 08:30:15 PM,12/25/2022 10:12:40 AM,12/25/2022 10:12:40 AM,1660 W OLIVE AVE,,,,1660,W,OLIVE,AVE,false,false,,,77,40,,L008,1,20,2012,22,,20,6,12,1163969.725469113,1937621.071139549,41.984469001,-87.672312,"(41.984469000940805, -87.67231200000191)"
SR22-02180554,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/23/2022 07:55:52 PM,12/26/2022 09:35:16 PM,12/26/2022 09:35:16 PM,6029 S SPAULDING AVE,,,,6029,S,SPAULDING,AVE,false,false,,,66,14,,H036,2,08,0823,15,,19,6,12,1155501.975377972,1864336.498092759,41.783544001,-87.7054275,"(41.7835440009401, -87.7054275000019)"
SR22-02178122,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/23/2022 09:39:26 AM,12/27/2022 09:14:02 AM,12/27/2022 09:14:02 AM,7647 S KINGSTON AVE,,,,7647,S,KINGSTON,AVE,false,false,,,43,7,,W040,2,04,0421,12,,9,6,12,1194607.201405201,1854562.728051861,41.755851001,-87.562377,"(41.75585100094002, -87.5623770000019)"
SR22-02177388,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/23/2022 07:05:43 AM,12/25/2022 01:46:52 PM,12/25/2022 01:46:52 PM,2802 W 21ST ST,,,,2802,W,21ST,ST,false,false,,,30,25,,I026,2,10,1023,7,,7,6,12,1157971.370275163,1889967.733828622,41.853829491,-87.695676385,"(41.853829491192236, -87.69567638529048)"
SR22-02176222,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Canceled,Phone Call,12/22/2022 05:44:51 PM,12/27/2022 09:12:28 AM,12/27/2022 09:12:28 AM,3832 S HERMITAGE AVE,,,,3832,S,HERMITAGE,AVE,false,false,,,59,12,,L030,1,09,0912,19,,17,5,12,1165241.996171816,1879165.206342413,41.824035001,-87.669297,"(41.82403500094028, -87.66929700000192)"
SR22-02175780,Nuisance Animal Complaint,EAB,311 City Services,Animal Care and Control,Completed,Phone Call,12/22/2022 03:49:23 PM,12/28/2022 07:54:26 AM,12/28/2022 07:54:26 AM,2251 W 79TH PL,,,,2251,W,79TH,PL,false,false,,,70,18,,K041,3,08,0835,19,,15,5,12,1162493.672340173,1851814.175352716,41.749038001,-87.680142,"(41.749038000940004, -87.68014200000192)"
SR22-02174576,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/22/2022 01:06:30 PM,12/25/2022 04:45:12 PM,12/25/2022 04:45:12 PM,3750 N BERNARD ST,,,,3750,N,BERNARD,ST,false,false,,,16,35,,H013,3,17,1732,4,,13,5,12,1152621.374941364,1924935.234630179,41.949891001,-87.714387,"(41.949891000940696, -87.71438700000192)"
SR22-02174360,Nuisance Animal Complaint,EAB,Alderman,Animal Care and Control,Canceled,Alderman's Office,12/22/2022 12:35:11 PM,12/27/2022 09:10:19 AM,12/27/2022 09:10:19 AM,8756 S COLFAX AVE,,,,8756,S,COLFAX,AVE,false,false,,,46,7,,W043,2,04,0423,31,,12,5,12,1194928.813663831,1847182.813076725,41.735592001,-87.561441,"(41.73559200093992, -87.56144100000192)"
SR22-02173970,Nuisance Animal Complaint,EAB,,Animal Care and Control,Canceled,Mobile Device,12/22/2022 11:33:44 AM,12/22/2022 12:35:46 PM,12/22/2022 12:35:46 PM,5722 W GROVER ST,,,,5722,W,GROVER,ST,false,false,,,11,45,,B010,2,16,1622,28,,11,5,12,1137140.757423766,1932345.810042626,41.970519001,-87.771114,"(41.97051900094075, -87.7711140000019)"
SR22-02171799,Nuisance Animal Complaint,EAB,,Animal Care and Control,Completed,Internet,12/22/2022 12:20:40 AM,12/25/2022 10:23:38 AM,12/25/2022 10:23:38 AM,4848 W RICE ST,,,,4848,W,RICE,ST,false,false,,,25,37,,D020,3,15,1531,27,,0,5,12,1143678.244418162,1905285.630379243,41.896143001,-87.7477545,"(41.8961430009405, -87.74775450000192)"
