SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-02126436,Water Quality Concern,WCA,DWM - Department of Water Management,DWM - Department of Water Management,Open,E-Mail,12/13/2022 10:35:11 AM,12/14/2022 07:51:25 AM,,1246 N BOSWORTH AVE,,,,1246,N,BOSWORTH,AVE,false,false,,,24,1,,M019,3,14,1433,1,,10,3,12,1165788.517170265,1908605.448263594,41.904810001,-87.666453,"(41.90481000094052, -87.66645300000191)"
SR22-02123971,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/12/2022 08:24:36 PM,01/26/2023 03:31:03 PM,01/26/2023 03:31:03 PM,10958 S WESTERN AVE,,,,10958,S,WESTERN,AVE,false,false,,,75,19,,J048,1,22,2212,50,,20,2,12,1162221.238463507,1831671.55142726,41.693769001,-87.681699,"(41.69376900093977, -87.68169900000191)"
SR22-02115583,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/11/2022 10:25:05 AM,01/12/2023 01:41:58 PM,01/12/2023 01:41:58 PM,2842 W 66TH ST,,,,2842,W,66TH,ST,false,false,,,66,15,,I037,3,08,0831,16,,10,1,12,1158382.363456574,1860771.463935809,41.773702827,-87.694963938,"(41.7737028272005, -87.69496393820714)"
SR22-02115484,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/11/2022 09:44:03 AM,02/21/2023 03:47:34 PM,02/21/2023 03:47:34 PM,1513 W NELSON ST,,,,1513,W,NELSON,ST,false,false,,,6,32,,M015,3,19,1932,10,,9,1,12,1165609.771467468,1920253.946992744,41.936778001,-87.666777,"(41.93677800094066, -87.6667770000019)"
SR22-02110938,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/09/2022 04:05:29 PM,12/12/2022 09:32:20 AM,12/12/2022 09:32:20 AM,4822 N OAK PARK AVE,,,,4822,N,OAK PARK,AVE,true,false,,SR22-02107350,10,41,,Z110,1,16,1613,24,,16,6,12,1130167.654800278,1931763.212972108,41.969043001,-87.7967685,"(41.96904300094075, -87.79676850000192)"
SR22-02109082,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/09/2022 11:36:40 AM,02/21/2023 03:47:12 PM,02/21/2023 03:47:12 PM,2732 N NEW ENGLAND AVE,,,,2732,N,NEW ENGLAND,AVE,false,false,,,18,36,,Y116,1,25,2512,1,,11,6,12,1129883.206268779,1917540.444423286,41.930019001,-87.798141,"(41.930019000940625, -87.7981410000019)"
SR22-02107350,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/09/2022 08:19:32 AM,12/12/2022 09:32:20 AM,12/12/2022 09:32:20 AM,4822 N OAK PARK AVE,,,,4822,N,OAK PARK,AVE,false,false,,,10,41,,Z110,1,16,1613,24,,8,6,12,1130167.654800278,1931763.212972108,41.969043001,-87.7967685,"(41.96904300094075, -87.79676850000192)"
SR22-02099115,Water Quality Concern,WCA,Alderman,DWM - Department of Water Management,Completed,Alderman's Office,12/07/2022 03:24:29 PM,01/27/2023 01:37:33 PM,01/27/2023 01:37:33 PM,8000 S KOMENSKY AVE,,,,8000,S,KOMENSKY,AVE,false,false,,,70,18,,F041,3,08,0834,40,,15,4,12,1150703.208033463,1851150.40621717,41.747454001,-87.7233645,"(41.74745400093996, -87.72336450000194)"
SR22-02095942,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/07/2022 09:44:14 AM,09/26/2023 12:43:07 PM,09/26/2023 12:43:07 PM,5244 S SPRINGFIELD AVE,,,,5244,S,SPRINGFIELD,AVE,false,false,,,62,23,,G034,2,08,0822,39,,9,4,12,1151187.636717564,1869356.129619995,41.797404001,-87.7211145,"(41.79740400094016, -87.72111450000193)"
SR22-02095561,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/07/2022 09:07:52 AM,09/26/2023 12:43:28 PM,09/26/2023 12:43:28 PM,5602 S MICHIGAN AVE,,,,5602,S,MICHIGAN,AVE,false,false,,,40,20,,Q035,2,02,0225,31,,9,4,12,1178097.366714255,1867883.291656278,41.792794096,-87.622477606,"(41.7927940961062, -87.62247760567782)"
SR22-02095532,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/07/2022 09:05:09 AM,01/17/2023 02:15:53 PM,01/17/2023 02:15:53 PM,3214 S ASHLAND AVE,,,,3214,S,ASHLAND,AVE,false,false,,,59,12,,L029,1,09,0912,9,,9,4,12,1166091.414902039,1883192.771248638,41.835069001,-87.666066,"(41.83506900094029, -87.66606600000192)"
SR22-02095037,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/07/2022 08:06:56 AM,12/07/2022 02:13:58 PM,12/07/2022 02:13:58 PM,10319 S CHRISTIANA AVE,,,,10319,S,CHRISTIANA,AVE,false,false,,,74,19,,H047,1,22,2211,30,,8,4,12,1155951.402941429,1835921.308715163,41.705559001,-87.704541,"(41.7055590009398, -87.70454100000191)"
SR22-02091868,Water Quality Concern,WCA,DWM - Department of Water Management,DWM - Department of Water Management,Canceled,E-Mail,12/06/2022 02:24:12 PM,02/21/2023 03:46:52 PM,02/21/2023 03:46:52 PM,3437 W BELLE PLAINE AVE,,,,3437,W,BELLE PLAINE,AVE,false,false,,,16,33,,H012,2,17,1723,23,,14,3,12,1152595.555315046,1926984.922204843,41.955516001,-87.7144275,"(41.95551600094074, -87.71442750000192)"
SR22-02090704,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/06/2022 12:54:22 PM,12/07/2022 01:35:28 PM,12/07/2022 01:35:28 PM,4102 S WESTERN AVE,,,,4102,S,WESTERN,AVE,false,false,,,58,12,,J031,2,09,0921,21,,12,3,12,1160950.38465699,1877341.691435085,41.819121001,-87.685092,"(41.81912100094024, -87.68509200000192)"
SR22-02090334,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/06/2022 12:22:54 PM,12/07/2022 01:31:24 PM,12/07/2022 01:31:24 PM,2321 W 41ST ST,,,,2321,W,41ST,ST,false,false,,,61,12,,K031,2,09,0924,21,,12,3,12,1161459.433552884,1877345.537355428,41.819121001,-87.6832245,"(41.81912100094024, -87.6832245000019)"
SR22-02089950,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/06/2022 11:47:50 AM,02/21/2023 03:46:24 PM,02/21/2023 03:46:24 PM,4111 S OAKLEY AVE,,,,4111,S,OAKLEY,AVE,false,false,,,61,12,,K031,2,09,0924,21,,11,3,12,1161622.971902314,1877294.299380949,41.818977001,-87.682626,"(41.81897700094023, -87.68262600000192)"
SR22-02089438,Water Quality Concern,WCA,,DWM - Department of Water Management,Completed,Internet,12/06/2022 10:53:33 AM,01/27/2023 09:41:18 AM,01/27/2023 09:41:18 AM,10907 S STATE ST,,,,10907,S,STATE,ST,false,false,,,49,9,,Q048,1,05,0513,34,,10,3,12,1178266.793865878,1832598.660996968,41.695965001,-87.6229245,"(41.69596500093978, -87.62292450000191)"
SR22-02088976,Water Quality Concern,WCA,,DWM - Department of Water Management,Open,Phone Call,12/06/2022 10:17:49 AM,12/09/2022 09:24:33 AM,,5015 N CLARK ST,,,,5015,N,CLARK,ST,false,false,,,3,47,,M010,3,20,2033,15,,10,3,12,1165261.291328292,1933432.875343691,41.972949001,-87.6676815,"(41.97294900094076, -87.6676815000019)"
SR22-02074972,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/03/2022 09:35:41 AM,01/13/2023 02:46:09 PM,01/13/2023 02:46:09 PM,2247 N LOREL AVE,,,,2247,N,LOREL,AVE,false,false,,,19,36,,C017,1,25,2515,25,,9,7,12,1140410.74465472,1914607.555190661,41.921784001,-87.7595265,"(41.92178400094059, -87.7595265000019)"
SR22-02071198,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/02/2022 01:37:56 PM,01/10/2023 02:02:14 PM,01/10/2023 02:02:14 PM,1259 N WOOD ST,,,,1259,N,WOOD,ST,false,false,,,24,1,,L019,2,14,1424,21,,13,6,12,1164266.349583315,1908688.778473523,41.905071001,-87.672042,"(41.90507100094051, -87.67204200000192)"
SR22-02070631,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/02/2022 12:39:29 PM,01/09/2023 02:00:07 PM,01/09/2023 02:00:07 PM,901 N HAMLIN AVE,,,,901,N,HAMLIN,AVE,false,false,,,23,27,,G020,1,11,1112,19,,12,6,12,1150962.261726157,1905782.52837255,41.897367001,-87.7209885,"(41.8973670009405, -87.72098850000192)"
SR22-02064202,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/01/2022 11:19:23 AM,01/11/2023 02:40:24 PM,01/11/2023 02:40:24 PM,4123 N LINCOLN AVE,,,,4123,N,LINCOLN,AVE,false,false,,,5,47,,K012,1,19,1911,12,,11,5,12,1161881.619868843,1927447.414164387,41.956596001,-87.680277,"(41.956596000940706, -87.68027700000191)"
SR22-02060992,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/30/2022 04:09:53 PM,12/01/2022 09:03:37 AM,12/01/2022 09:03:37 AM,2323 N MONTICELLO AVE,,,,2323,N,MONTICELLO,AVE,false,false,,,22,35,,G017,2,25,2525,8,,16,4,11,1151738.108671475,1915302.697286442,41.923476001,-87.717888,"(41.92347600094057, -87.71788800000192)"
SR22-02057481,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/30/2022 08:43:36 AM,02/21/2023 03:57:21 PM,02/21/2023 03:57:21 PM,1552 W 99TH ST,,,,1552,W,99TH,ST,false,false,,,72,19,,L045,1,22,2213,13,,8,4,11,1167457.823654028,1839156.645173315,41.714199001,-87.662313,"(41.714199000939864, -87.66231300000192)"
SR22-02055600,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/29/2022 04:54:20 PM,12/14/2022 10:50:58 AM,12/14/2022 10:50:58 AM,6425 S FAIRFIELD AVE,,,,6425,S,FAIRFIELD,AVE,false,false,,,66,16,,J037,2,08,0825,6,,16,3,11,1159224.000056663,1861782.838795881,41.776461001,-87.691851,"(41.776461000940095, -87.69185100000193)"
SR22-02055164,Water Quality Concern,WCA,Alderman,DWM - Department of Water Management,Canceled,Alderman's Office,11/29/2022 03:29:28 PM,11/30/2022 03:50:53 PM,11/30/2022 03:50:53 PM,10653 S AVENUE F,,,,10653,S,AVENUE F,,false,false,,,52,10,,Z048,3,04,0432,32,,15,3,11,1203517.841466123,1834705.842639557,41.70113858,-87.530401204,"(41.70113858028695, -87.53040120430333)"
SR22-02054281,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,11/29/2022 01:45:31 PM,11/30/2022 10:32:23 AM,11/30/2022 10:32:24 AM,2020 N HOWE ST,,,,2020,N,HOWE,ST,false,false,,,7,43,,O017,1,18,1812,7,,13,3,11,1171536.603493508,1913787.040830186,41.918904001,-87.645186,"(41.918904000940564, -87.64518600000191)"
SR22-02048843,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/28/2022 03:48:18 PM,12/14/2022 10:51:27 AM,12/14/2022 10:51:27 AM,6151 N WINTHROP AVE,,,,6151,N,WINTHROP,AVE,false,false,,,77,48,,N007,3,24,2433,32,,15,2,11,1167860.355021989,1941062.473345879,41.993829001,-87.657903,"(41.99382900094083, -87.65790300000191)"
SR22-02048593,Water Quality Concern,WCA,,DWM - Department of Water Management,Completed,Phone Call,11/28/2022 03:17:44 PM,11/29/2022 01:33:14 PM,11/29/2022 01:33:14 PM,310 S MICHIGAN AVE,,,,310,S,MICHIGAN,AVE,false,false,,,32,42,,Q023,1,01,0113,33,,15,2,11,1177184.479786187,1898916.391236234,41.877972001,-87.6248865,"(41.87797200094044, -87.6248865000019)"
SR22-02045381,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Phone Call,11/28/2022 09:31:40 AM,12/14/2022 10:51:54 AM,12/14/2022 10:51:54 AM,2360 E 71ST ST,,,,2360,E,71ST,ST,false,false,,,43,5,,V038,3,03,0331,26,,9,2,11,1193224.54930697,1858423.810900208,41.766480001,-87.567318,"(41.766480000940064, -87.5673180000019)"
SR22-02026416,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,11/23/2022 08:22:47 AM,11/23/2022 01:48:45 PM,11/23/2022 01:48:45 PM,5957 N ELSTON AVE,,,,5957,N,ELSTON,AVE,false,false,,,11,39,,B007,2,16,1622,23,,8,4,11,1135502.090972957,1939321.039856528,41.989689001,-87.776973,"(41.98968900094083, -87.7769730000019)"
SR22-02025765,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/22/2022 11:27:22 PM,12/14/2022 10:52:36 AM,12/14/2022 10:52:36 AM,4510 W 16TH ST,,,,4510,W,16TH,ST,false,false,,,29,24,,E025,1,10,1012,8,,23,3,11,1146508.254327964,1891723.708356389,41.858874001,-87.737706,"(41.85887400094037, -87.73770600000191)"
SR22-02007776,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,11/19/2022 06:07:55 AM,12/14/2022 10:53:04 AM,12/14/2022 10:53:04 AM,5308 W HIRSCH ST,,,,5308,W,HIRSCH,ST,false,false,,,25,37,,C019,3,25,2532,38,,6,7,11,1140657.742769518,1908830.606577756,41.905926869,-87.758761148,"(41.9059268691267, -87.75876114822036)"
SR22-02004134,Water Quality Concern,WCA,311 City Services,DWM - Department of Water Management,Completed,Phone Call,11/18/2022 10:28:57 AM,12/19/2022 03:28:16 PM,12/19/2022 03:28:16 PM,2427 W GRENSHAW ST,,,,2427,W,GRENSHAW,ST,false,false,,,28,28,,J024,3,11,1135,11,,10,6,11,1160241.872548738,1894883.034270308,41.867271001,-87.687207,"(41.86727100094039, -87.6872070000019)"
SR22-02002403,Water Quality Concern,WCA,,DWM - Department of Water Management,Completed,Mobile Device,11/18/2022 01:16:00 AM,11/21/2022 09:11:38 AM,11/21/2022 09:11:38 AM,5924 N ROCKWELL ST,,,,5924,N,ROCKWELL,ST,false,false,,,2,40,,J008,1,20,2011,10,,1,6,11,1157845.079433733,1939378.514765247,41.989419001,-87.6947895,"(41.98941900094083, -87.69478950000189)"
SR22-01995397,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Internet,11/16/2022 05:29:51 PM,12/14/2022 10:53:25 AM,12/14/2022 10:53:25 AM,2747 W 54TH ST,,,,2747,W,54TH,ST,false,false,,,63,14,,J034,2,09,0923,21,,17,4,11,1158768.860638845,1868673.411414828,41.795379001,-87.6933315,"(41.79537900094013, -87.69333150000192)"
SR22-01995287,Water Quality Concern,WCA,,DWM - Department of Water Management,Canceled,Internet,11/16/2022 05:09:24 PM,12/14/2022 11:03:06 AM,12/14/2022 11:03:06 AM,5359 S CALIFORNIA AVE,,,,5359,S,CALIFORNIA,AVE,false,false,,,63,14,,J034,2,09,0923,21,,17,4,11,1158700.614825114,1868774.574798086,41.795658001,-87.693579,"(41.795658000940136, -87.69357900000193)"
